shipper_party_name,count,address1,address2,address3,address4,country_code
AIRLIFT TRANS OCEANIC PVT LTD,10398,"BLOCK C, 2ND FLOOR, EGA TRADE CENTR","E NO.809, POONAMALLEE HIGH ROAD KIL","PAUK, CHENNAI 600010",TEL 044 - 4391 6650/51,
"EXPEDITORS TAIWAN CO., LTD.",10285,"11 FL,NO.181,FU-HSING NORTH ROAD","KEITH LEUNG 02-27132145, 27523446",TAIPEI 10596,TAIWAN,
BRILLIANT GROUP LOGISTICS CORP.,10258,"61 HONGKONG MIDDLE RD.,",QINGDAO 37 266071 CHINA,,,
NEW CHAIN LOGISTICS CO LTD,10225,"ROOM 504505, SHENHUA COMMERCIAL BLD","2018 JIABIN ROAD, SHENZHEN 518001,",CHINA TEL 86 755 33387288,,
T.H.I GROUP(SHANGHAI)LTD.,10170,"10TH FL,KAIKAI PLAZA 888,WAN HANG","DU RD,SHANGHAI CHINA,P.R.C.200042",T:021-61339533 F:021-61339552,,
HECNY SHIPPING LTD,10123,"13/F.,BAMBOOS CENTRE,52 HUNG TO","ROAD,KWUN TONG,KOWLOON,HONG KONG",CONTACT PERSON:MR ROBERT,,36
EXPEDITORS THAILAND LTD.,10095,"44TH FL,EMPIRE TOWER,PARKWING,NO.1","SOUTH SATHORN RD.,YANNAWA,",SATHORN BANGKOK 10120 THAILAND,BANGKOK,
SEAGOLD (PRIVATE) LIMITED,10048,SUITE 418-421 4TH FLOOR THE PLAZA,G-7 CLIFTON BLOCK 9 KDA SCHEME 5,KARACHI PAKISTAN,,
ORIENT EXPRESS CONTAINER (THAILAND),10038,"2024/118-119, RIMTANGR SAIPAKNAM RD",BANGKOK 10250 THAILAND,,,
VANGUARD LOGISTICS SERVICES,10030,ROMEYNSWEEL 8 - HAVEN 200,,ANTWERP 2030 BE,,
UPS SCS (CHINA) LIMITED SHANGHAI,10013,BR,"NO.1000, PU JIAN ROAD, SHANGHAI 31",200127 CN,,
"PUDONG PRIME INT'L LOGISTICS,INC.",9979,"SHANGHAI OFFICE RM1102-1103,11TH FL",SHANGHAI 31 200000 CHINA,,,
"AIR TIGER EXPRESS(ASIA),INC.",9978,"12F,NO.268.ZHONGSHAN S","ROAD,SHANGHAI,CHINA 200010",TEL 86-21-63325588,SHANGHAI,
BOLLORE LOGISTICS DUNKERQUE,9930,10 BIS QUAI DE LA CITADELLE,B.P. 4190,59378 DUNKERQUE CEDEX 1,,
"RAMSES LOGISTICS CO., LTD.",9886,"ROOM 505, 5TH FL., A-DONG, GANGSEO","HANGANG XI TOWER,401, YANGCHEON-RO,","GANGSEO-GU, SEOUL,KOREA",,
LEONARDI & C. SPA,9876,VIA HENRY DUNANT 10/12/14,SASSUOLO 41049 ITALY,,,
P.A.C. OCEAN LINES LTD.,9863,"UNIT NO.8, 8/F, HUNGHOM COMMERCIAL",HONG KONG .,HONG KONG,,
"OEC LOGISTICS (QINGDAO) CO.,LTD",9861,TIANJIN BRANCH,"19TH FLOOR,BUILDING NO..2FUYU","CENTER,376 JIEFANG NAN ROAD,",,
DAHNAY LOGISTICS PVT LTD,9848,"NO9A, CHIDAMBARA NAGAR","4TH STREET,TUTICORIN - 628 008",TAMIL NADU. INDIA,,
ZHANG LU,9791,GUANGDONGSHENZHENLONGGANG3 F SECOND,"SHENZHEN, GUANGDONG",,,
SHENZHEN PACIFIC-NET LOGISTICS INC.,9787,"ROOM 601,WEST BUILDING CHINA PETROC",SHANGHAI 31 200135 CHINA,,,
"TAN PHAT LOGISTICS SERVICES CO.,LTD",9756,"02ND FLOOR, HAI HA BUILDING,","217, NGUYEN VAN THU STR.,","DAKAO WARD, DIST. 1, HO CHI MINH CI",,
CHINA INTERNATIONAL FREIGHT COMPANY,9737,"17FLOOR, NO. 1 HENAN SOUTH ROAD.,",SHANGHAI .,CHINA,,
"KINTETSU WORLD EXPRESS,INC.",9728,EXPORT SEA FREIGHT OPERATION,"CENTER 1-7-17,SHIBA,MINATO-KU,",TOKYO 105-0014 JAPAN TEL_81-3-6865-,FAX_81-3-3455-1761 S/C_ JP0,
UBI LOGISTICS (CHINA) LIMITED,9726,SHANGHAI BRANCH,"ADDR A304, NO.1518 MIN SHENG ROAD,","SHANGHAI, CHINA",TEL 021-6104 7111 FAX 021-68549773,
PUDONG PRIME INTERNATIONAL LOGISTIC,9587,"ROOM 11A, HONG SHENG BUILDING,","NO.04, HE XIANG WEST ROAD, XIAMEN,","FUJIAN, CHINA TEL (+86)-592-2277607",CHINA,
SILVER FERN FARMS LIMITED,9580,283 PRINCES STREET,DUNEDIN 9016,,,NZ
NOBLE SHIPPING PVT. LTD.,9517,.,SION TROMBAY ROAD MUMBAI MH 400071,IN,,
"NISSAN MOTOR CO.,LTD.,",9457,"1-1,TAKASHIMA 1-CHOME,NISHI-KU,","YOKOHAMA-SHI,KANAGAWA,JAPAN",TEL:(045)523-5523 U2T68,,
K-APEX LOGISTICS (XIAMEN) COMPANY,9435,"23GH, INTERNATIONAL PLAZA, NO. 8","LUJIANG ROAD, XIAMEN 361001, P.R.",CHINA TEL (86) 592 2618063,,
FAVOURITE DESIGN SDN BHD,9412,"LOT 1915, JALAN TANJUNG SELABU","GM 347, MUKIM SUNGAI RAYA,","MUAR,JOHOR,84300,MY",,
ORIENT STAR TRANSPORT INT L LTD,9404,C O ORIENT STAR TRANSPORT INT L,"RM24A,THE CATIC TOWER NO. 212","JIANGNING ROAD,JINGAN DISTRICT",,
NOBLE SHIPPING PVT. LTD,9360,"CORPORATE PARK , UNIT # 13/ II,","2ND FLOOR, BLOCK # 12 & 13,",SION TROMBAY ROAD,,84
A2Z LOGISTICS INDIA PVT LTD,9357,"NO.16, MMTC COLONY 2ND MAIN",RD-(OPP. MODERN SCHOOL PLAYGROUND),"NANGANALLUR, CHENNAI- 600 061",PH +91 44 4558 8023,
VICTORA AUTO PVT LTD,9342,44TH K.M. STONE DELHI MATHURA ROAD,"VILLAGE SIKRI,FARIDABAD-121004",,,IN
TOPOCEAN CONSOLIDATION,9326,"SERVICE CO., LTD (VIET NAM)","107-109-111, NGUYEN DINH CHIEU STR,","WARD 6, DIST 3, HO CHI MINH",,01
SAMSUNG ELECTRONICS MEXICO SA DE CV,9304,"AV.BENITO JUAREZ #119,PARQUE INDUST",SANTA ROSA DE JAUREGUI QUE 76220 ME,,,
SHANGHAI ALL-LINK LOGISTICS LTD.,9281,"6 F,HONG LAND COMMERCIAL","BUILDING,NO.1359 ZHONG HUA ROAD,","HUANG PU DISTRICT,SHANGHAI,P.R.C",,
TRIPLE EAGLE CONTAINER LINE (SHENZH,9268,"RM 1202, 12F GUIDU BLDG., NO.3007 C",SHENZHEN GD 518000,CHINA,,
ON TIME SHIPPING LINE LIMITED,9248,"UNIT 18, 1/F,SINO INDUSTRIAL PLAZA,","NO 9 KAI CHEUNG ROAD,","KOWLOON BAY, HONG KONG",,15
"LG CHEM, LTD.",9243,"LG TWIN TOWERS, 128, YEOUI-DAERO","YEOUNGDEUNPO-GU, SEOUL 07336,",REPUBLIC OF KOREA,,
CHIQUITA BRANDS INTERNATIONAL SARL,9223,"TUILIERE 16, 1163 ETOY",,ETOY CH,,
"HANKOOK TIRE CO., LTD.",9217,"133 TEHERAN-RO(YEOKSAM-DONG), GANGN","SEOUL, KOREA","C.P.O. BOX 260, SEOUL. KOREA",,
SEAHORSE SHIPPING CORPORATION,9208,"KICOTRANS OFFICE BUILDING ,","1ST FLOOR, NO. 5 DONG DA STR,",TAN BINH DIST.,"HO CHI MINH, VIETNAM",
BON VOYAGE LOGISTICS INC.,9198,"2ND FLOOR, XIANYU BUILDING, NO.","999, SUZHOU ROAD (S) HUANGPU","DISTRICT, SHANGHAI, CHINA 200003",SHANGHAI SH,
TOYOTA MOTOR CORPORATION,9195,"1 TOYOTA-CHO, TOYOTA, AICHI","PREF., 471-8571 JAPAN",AICHI,,
K-APEX INTERNATIONAL FREIGHT (NINGB,9189,"ROOM 6-123,NO.35-45 YAOHANG STREET",NINGBO ZJ,CHINA,,
"THAI SAMSUNG ELECTRONICS CO.,LTD.",9133,"313 MOO 1, SRIRACHA INDUSTRIAL PARK","SUKHAPIBAN 8 RD. TAMBON BEUNG,","AMPHUR SRIRACHA, CHONBURI 20230",THAILAND TEL.66(0)3832-0777,
"DSV AIR & SEA CO., LTD. AS AGENT",8983,FOR DSV OCEAN TRANSPORT A/S,"8-9F &15F,RAFFLES CITY CHANGNING","OFFICE TOWER3,NO.1193 CHANGNING","ROAD,SHANGHAI 200051 CHINA",
QISDA (SUZHOU) CO LTD,8983,"NO 169 ZHUJIANG ROAD, SUZHOU NEW DI",STRICT,,,CN
SAMSUNG ELECTRONICS DIGITAL APPLIAN,8982,PARQUE INDUSTRIAL QUERETARO AV. BEN,QUERETARO QUE 76220 MEXICO,,,
"CAESAR SHIPPING & LOGISTICS CO.,",8958,LTD.,"ROOM 906-907, SHANGHAI 31 200002 CN",,,
ACS INTERNACIONAL S. DE R.L DE C.V.,8949,PLANT 2,AVE LAS AMERICAS 601,COL LAS AMERICAS,GUADALUPE MX,
FR. MEYER'S SOHN (GMBH& CO.) KG,8825,GRUENER DEICH 19,HAMBURG HH 20097 GERMANY,,,
PRINCESS CRUISES,8794,24300 TOWN CENTER DRIVE,,,,US
FRIUL INTAGLI INDUSTRIES SPA,8781,8,"VIA BASTIE, 9",PORTOBUFFOLE',,
AIR SEA TRANSPORT INC.,8743,"10F NO. 71, SUNG CHIANG ROAD",TAIPEI .,TAIWAN,,
CI TECNICAS BALTIME DE COLOMBIA S.A,8709,TRONCAL DEL CARIBE KM 2 VIA A GAIRA,"SANTA MARTA, COLOMBIA",,,
APL LOGISTICS INDIA PVT. LTD.,8676,AGENTS FOR APL LOGISTICS LTD.,I THINK TECHNO CAMPUS SUPREMUS III,BUILDING 5TH FLOOR UNIT 1-4,,14
"YUSEN LOGISTICS (CHINA) CO., LTD.,",8649,FUZHOU BRANCH,"ROOM 1703 - 1709A, 17TH FLOOR,","FUSHENG WEALTH CENTER,","NO. 60, GUTIAN ROAD,_",
HONOUR LANE LOGISTICS SDN BHD,8563,"UNIT 906-908, BLOCK A, DAMANSARA IN",PETALING JAYA 47400 MALAYSIA,,,
ROBERT BOSCH GMBH,8547,BEXBACHER STR. 72,66424 HOMBURG,DE,,
SCHENKER CHINA LTD.SHENZHEN BRANCH,8515,21/F INTERNATIONAL TRADE CENTER,NO.3002 RENMIN NAN ROAD,LUOHU DISTRICT SHENZHEN 518014 CHIN,AS AGENT OF SCHENKEROCEAN LIMITED,
NISSIN CORPORATION,8506,"5. SANBANCHO, CHIYODA-KU,TOKYO","102-8350, JAPAN",TEL 03-3238-6567,TOKYO,
"TAIZHOU FULING PLASTICS CO.,LTD.",8486,"NO.88 SOUTH JINTANG ROAD,EASTERN NE",WENLING 33 317500 CHINA,,,
EASYLOG SERVICOS E LOGISTICA LTDA,8465,"RUA HERTA THIEME, 103, SALA B IMARU",ITAJAI SC 88305-645 BRAZIL,,,
KOMATSU LTD,8451,2 3 6 AKASAKA,,,,JP
FCL MARINE AGENCIES B.V.,8437,KRALINGSEWEG 213-215,3062 CE ROTTERDAM NL,THE NETHERLANDS,,
"CHINA INT'L FREIGHT CO.,LTD.",8352,"UNIT02-03. B-16/F, WORLD WIDE PLAZA",FUZHOU 35 350003 CHINA,,,
SINO CONNECTIONS LOGISTICS,8331,"(THAILAND) CO., LTD.",1011 SUPALAI GRAND TOWER BANGKOK BK,K 10120 TH,,
ORIENT STAR TRANSPORT,8311,INTERNATIONAL LTD.,"ROOM 507-508 HENGFU BUILDING,","TOWER 2,NO.858 FUMING ROAD,","NINGBO,ZHEJIANG CHINA P.C.315041@",
"KINTETSU WORLD EXPRESS, INC.",8297,EXPORT SEA FREIGHT OPERATION CENTER,"SHIBA, MINATO-KU, TOKYO 105-0014 JA",TEL_81-3-6865-1560 FAX_81-3-3455-17,S/C_ JP0,
E G E T R A N S,8228,LUDWIGSBURGER STR. 70,D 71672 M A R B A C H A . N.,TAX-ID DE811261261,,95
"JAPAN TRUST CO.,LTD.",8225,"9TH FLOOR, MARUNOUCHI ESTATE BLDG.",17-12 2CHOME MARUNOUCHI NAKAKU,NAGOYA 460-0002 JAPAN TEL_052-232-6,FAX_052-232-6680 S/C_ JP0,
MTS ULUSLARARASI TASIMACILIK VE TIC,8189,HAMIDIYE MAH. CENGIZ TOPEL CAD. TAY,MERSIN 33 33010 TURKEY,,,
ORIENT STAR TRANSPORT INT L LTD. R,8156,"M 24A, CATIC TOWER 212 JIANGNING RO",AD SHANGHAI O B ORIENT STAR TRANS,"PORT INT L LTD. 5TH FL, NO 61 SEC",,
JING MEI AUTOMOTIVE LIMITED,8146,"UNIT C6, 8/F, TML TOWER,","3 HOI SHING ROAD, TSUEN WAN",,,HK
GIORGIO GORI AS AGENT OF,8142,VINA CONCHA Y TORO S.A.,NORTE LAS CONDES - CHILE PHONE,,,CL
EXPEDITORS KOREA LTD.,8137,"2F, E&C VENTURE DREAM TOWER 2-CHA","197-10, GURO-DONG",SEOUL 152 848,,
THE ABSOLUT COMPANY AB,8130,THE ABSOLUT COMPANY,STOCKHOLM AB 117 97 SWEDEN,,,
EXPEDITORS INTERNATIONAL GMBH,8118,(FRA) MOENCHHOFALLEE 10,65479 RAUNHEIM,GERMANY,,
FEDEX TRADE NETWORKS TRANSPORT &,8069,BROKERAGE (HUNGARY) KFT.,"AIRPORT CITY LOGISTIC PARK, BUILDIN",VECSES 2220 HU,,
PANALPINA WORLD TRANSPORT (PRC),8061,LTD TIANJIN BRANCH AS AGENT FOR,AND ON BEHALF OF PANTAINER(H.K),"LTD RM24A, PING AN MANSION,59",,
JBS AUSTRALIA PTY LIMITED,8052,1 LOCK WAY,RIVERVIEW,QUEENSLAND 4303,,01
SINO CONNECTIONS LOGISTICS INC,8052,"RM1003-1005,INTERNATIONAL","CAPITALPLAZA,NO.1318 SICHUAN ROAD","NORTH,SHANGHAI 200080,P.R.C",TEL:36123800 FAX:6605,
MOL CONSOLIDATION SERVICE LTD O B,8043,KAILONG SHOES CO. LTD NO.6 JINFENG,CHANG ROAD BAOTUN VILLAGE HOUJIE,DONGGUAN CITY GUANGDONG PROVINCE,,
VS VEREINIGTE SPEZIALMOEBELFABRIKEN,7987,GMBH & CO. KG,HOCHHAEUSER STR. 8,TAUBERBISCHOFSHM. DE,,
FR. MEYERS SOHN (GMBH & CO.) KG,7968,"MICER MASCO, 42,OFFICE NO. 9","46010 VALENCIA, ESPANIA",AS AGENTS OF,FMS SEAWAYS AG - CH-8152 OPFIKON,
AMERICAN INTERNATIONAL CARGO,7903,SERVICES(CHINA) LIMITED,"ROOM 1906,BM TOWER,NO.218 WUSONG","ROAD,HONGKOU DISTRICT,SHANGHAI",200080 CHINA TEL 021-53088399 X,
FEDEX TRADE NETWORKS TRANSPORT,7895,BROKERAGE (HONG KONG) LIMITED,UNIT 801 LEVEL 8 METROPLAZA TOWER,1 NO. 223 HING FONG ROAD KWAI,,
DACHSER SE,7854,AIR & SEA LOGISTICS,AS AGENT OF KINGWOOD LOGISTICS LTD,AM KANAL 2-4,,30
PENAVICO INTERNATIONAL LOGISTICS CO,7846,"ROOM 2+1-1-75,BLDG 255, NO.10,LANE","98 SUIYUAN STREET,CICHENG TOWN, JIA","NGBEI DIST. NINGBO,CHINA 315040",.,
SHANGHAI EVEREST INTERNATIONAL LOGI,7842,"ROOM 1202,12/F., NO.2 BUILDING,NO.1",SHANGHAI 31 200000 CHINA,,,
UNIQUE LOGISTICS INTERNATIONAL,7824,(INDIA) PRIVATE LIMITED,KAPASHERA-BIJWASAN ROAD NEW DELHI D,L 110037 IN,,
KUEHNE & NAGEL LTD SHENZHEN BRANCH,7786,"UNIT A/B/C/D, 28/F BLK A,","WORLD FINANCE CENTRE, 4003 SHENNAN","DONG ROAD, SHENZHEN 518001, CHINA",AGENT OF BLUE ANCHOR AMERICA LINE,
EXPEDITORS INTERNATIONAL ITALIA SRL,7784,VIA GORIZIA 1B,20096 SEGGIANO DI PIOLTELLO MI,ITALY,,
FILA SPORT HONG KONG LTD.,7779,"ROOM 1808, 18/F, SAXON TOWER","7 CHEUNG SHUN STREET, LAI CHI KOK","KOWLOON, HONG KONG ISLAND HK",,
JOOSUNG SEA & AIR COMPANY LIMITED,7769,"4TH FLOOR, JOOSUNG BUILDING 47, PIL",CHUNG-GU SEOUL,SOUTH KOREA,,
TRANSLINK SHIPPING LINES - NINGBO,7758,BRANCH,"21F, CITIC BANK BUILDING, #36,",ZHENMING ROAD,,
SAVINO DEL BENE S.P.A.,7742,"FIRENZE VIA DELLE NAZIONI UNITE, 19",50018 SCANDICCI ITALY,. T:+39 055 5219 1,,
"OEC FREIGHT WORLDWIDE CO., LTD.",7737,"ROOM 802-804, 8/F, EAST TOWN","BUILDING, 41 LOCKHART ROAD,","WANCHAI, 999077 HONG KONG",,
LANXESS DEUTSCHLAND GMBH,7735,KENNEDYPLATZ 1,50569 KOELN,,,DE
GOVLOG C/O GCT,7677,BELCROWNLAAN 21,,,,BE
"TONG YANG INDUSTRY CO., LTD.",7657,"98 AN HO ROAD, SEC. 2 TAINAN,",TAIWAN R. O. C.,,,
EMO TRANS CHINA LIMITED,7653,"FLOOR 3,BUILDING 11, THE COOL DOCK",HUANGPU DISTRICT SH 200001,CHINA,,
"TSI-TRANSLINK (TAIWAN) CO.,LTD.",7648,"8/F,#67 KUANG FU SOUTH ROAD","TAIPEI,TAIWAN",PH:8862-2747-3788,,
GENERAL NOLI SPA,7632,VIA SALLUSTIO 3,MODENA 41100 ITALY,,,
CELEBRITY CRUISES INC.,7547,1050 CARIBBEAN WAY,,,,US
EASTERN SHIPPING WORLDWIDE(SHANGHAI,7543,"ROOM 617, NO.1943 BAOYANG ROAD,","BAOSHAN AREA,",,,CN
"YUSEN LOGISTICS CO.,LTD.",7520,.,4-10-27 HIGASHI SHINAGAWA TOKYO 13,140-0002 JP,,
"CHINA INT'L FREIGHT CO., LTD.",7506,"UNIT02-03. B-16/F, WORLD WIDE PLAZA",FUZHOU 35 350003 CHINA,,,
T.H.I. GROUP (SHANGHAI) LTD.,7484,"22FLOOR NO,166 JIE FANG ROAD",YANTAI SD,CHINA,,
HYUNDAI MOBIS,7475,"203, TEHERAN-RO,","GANGNAM-GU, SEOUL, 06141 KOREA",,,
PANTAINER (H.K.) LIMITED DBA PANTAI,7472,"TOP FLOOR, ATL LOGISTICS CENTRE B,",HONG KONG .,HONG KONG,,
TEYS AUSTRALIA PTY LTD,7469,"BUILDING 3, FREEWAY OFFICE PARK",2728 LOGAN ROAD EIGHT MILE PLAINS,QLD 4113 AUSTRALIA,,
KUEHNE+NAGEL SRL CON UNICO SOCIO,7462,CENTRO DIREZIONALE MILANO OLTRE-,"PALAZZO CARAVAGGIO, VIA CASSANESE","224, 200900 SEGRATE (MI), ITALY",,
WINSWAY ABGULP,7458,FIRST FLOOR TWO EAST LONGXING SCIE,"SHENZHEN, GUANGDONG",,,
VMLOG LOGISTICA INTERNACIONAL LTDA,7448,CNPJ 07.658.436/0001-11 BALNEA,ATLAS LINE - SANTVOORTBEEKLAAN,,,BR
JF HILLEBRAND ITALIA SPA,7443,"VIA VOLTURNO, 10/12 - GROMA CENTER",TORRE B - PIANO 2 - OSMANNORO,"50019 SESTO FIORENTINO, FI",,
ALBATRANS SPA,7441,VIA DEL BOTTEGHINO N. 19,SCANDICCI FI 50018 ITALY,,,
"JOO SUNG SEA AIR CO., LTD.",7441,"4F, 47 PILDONG-RO, JUNG-GU,","SEOUL, KOREA",,,
HOYER GLOBAL TRANSPORT B.V.,7407,OUDEMAASWEG 44-50,3197 KJ BOTLEK-ROTTERDAM,NETHERLANDS,,
"DHL GLOBAL FORWARDING (CHINA) CO.,L",7374,"NO.555 JINGJIA ROAD 7/F,BUILDING A,",NINGBO 33 315010 CHINA,,,
CAVENDISH FARMS,7351,100 MIDLAND DRIVE,,,,CA
GEODIS FREIGHT FORWARDING FRANCE,7336,C/O CARGO CONTAINER LINE,9 RUE FERRER - BP1345,LE HAVRE CEDEX 76065,,
SAVINO DEL BENE S.P.A. FIRENZE,7330,"VIA DELLE NAZIONI UNITE, 17/19",50018 SCANDICCI FI ITALY,GOVERNMENT TAX ID NUMBER:,IT05300610481,
MASTER INTERNATIONAL LOGISTICS (CHI,7233,ROOM 1902 NO.85 OU YANG ROAD,HONGKOU DISTRICT SH 200081,CHINA,,
SCHENKER INTERNATIONAL (H.K.) LTD,7157,.,"SUITE 1A, 10B-12, 21 F & WHOLE",FLOOR OF 35 F SKYLINE TOWER,,
DHL GLOBALFORWARDING(ITALY)SPA,7155,AS AGENT OF DANMAR LINES LTD,STRADA DEL FRANCESE 152/8,TORINO TO 10156,,18
SCHENKER CHINA LTD NINGBO BRANCH,7151,"16F SOUTHEAST BUILDING,","NO.258 CHANGLE ROAD,","EASTERN NEW CITY,",,31
RITIME GROUP INC,7109,"UNIT 1706, WENTONG INTERNATIONAL PL","AZA NO. 739 KUN MING ROAD, YANGPU D",ISTRICT SHANGHAI 200082 CHINA,.,
CHINA INTERNATIONAL FREIGHT (CHINA),7092,"ROOM 516 , HAIZHU MANSION, NO. 166,",TIANJIN 12 300042 CHINA,,,
DHL GLOBAL FORWARDING (CHINA) COMPA,7086,16/F ORIENT INTERNATIONAL FINANCE P,SHANGHAI SH 200010,CHINA,,
SEASKY LOGISTICS CO. LTD.,7079,SUITE 301-304 NO.600 MINSHENG,ROAD,SHANGHAI CHINA,,
"SAFROUND LOGISTICS CO.,LTD",7065,"17/F HONGTAI DIBIAO BUILDING, NO.12","YINZHOU DISTRICT,NINGBO,ZHEJIANG,CH",TEL/FAX:89032103,,68
BEIJING KANGJIEKONG INTERNATIONAL C,7063,ROOM 3A08 TOWER A DRAGON TIMES PLAZ,HANGZHOU ZJ 310000,CHINA,,
UPS SUPPLY CHAIN SOLUTIONS,7036,(TAIWAN) CO. LTD. AS AGENT FOR,UPS ASIA GROUP PTE. LTD.,2F NO.361 TANAN RD SHIHLIN DIST,,
NATUZZI CHINA LIMITED,7034,"3111 HUANCHENG WEST ROAD ,FENGXIAN",DISTRICT 201401 SHANGHAI CHINA,,,
ORIENT STAR TRANSPORT INTL LTD,6991,"RM 24A, THE CATIC TOWER NO.212","JIANGNING ROAD,JINGAN DISTRICT","SHANGHAI 200041, P.R.C",TEL (86) 21 5289 5252 X,
CN WORLDWIDE INTERNATIONAL FREIGHT,6979,FORWARDING (SHANGHAI) LTD,26A TIMES SQUARE,"500 ZHANGYANG ROAD, PUDONG","SHANGHAI,CHINA 200122",
TUPY S/A,6951,"RUA ALBANO SCHMIDT, 3400 - BOA VIST",JOINVILLE SC 89227-901 BRAZIL,,,
FLORIM CERAMICHE SPA,6938,VIA CANALETTO 24,,,,IT
SHANGHAI SUPREME INTERNATIONAL,6907,"FREIGHT FORWARDING CO.,LTD","16/F, YAOJIANG INTERNATIONAL PLAZA,","NO.258 WUSONG ROAD, SHANGHAI,",,53
MAN WAH (MACAO COMMERCIAL OFFSHORE),6905,LIMITED.ALAMEDA DR.CARLOS D'ASSUMPC,"NO.411-417,PRACA WONG CHIO J 19",MACAU,MACAU,
YES LOGISTICS CORP.,6875,5F NO. 243 SEC. 2 CHONGQING N.,RD. TAIPEI 10359 TAIWAN R.O.C.,TEL886-2-25575666,,
SCHENKER ITALIANA SPA,6869,VIA GOBETTI INTERP.TO SPEDIZIONIERI,CIVITANOVA MARCHE 62012 ITALY,,,
"KERRY-APEX (THAILAND) CO., LTD.",6866,.,"163 THAISAMUT BUILDING,14TH FL.,ROO",M AB BANGKOK 10500 TH,,
"SENTURY TIRE (THAILAND) CO., LTD",6851,888/1 M.2 TAMBOL SAMNAKTHONG,AMPHUR MUEANG RAYONG 21100,THAILAND,,
SEA TRADE INTERNATIONAL TRANSPORATI,6816,"SUITE 17F,G, JIN AN TOWER NO.908 ,D",SHANGHAI SH 210002,CHINA,,
FUZHOU LIGHT INDUSTRY IMPORT & EXPO,6811,"8/F.,TAIYANG PLAZA,NO.278,HUDONG","AVENUE FUZHOU,CHINA",,,
"SAFROUND LOGISTICS CO.,LTD.",6778,"17/F HONGTAI DIBIAO BUILDING,","NO.1222 NINGCHUAN ROAD,","YINZHOU DISTRICT,NINGBO,",,68
VOLVO LOGISTICS CORPORATION,6769,SMALLE HEERWEG 31,9041 OOSTAKKER,"BELGIUM, BE",,
GTS LOGISTICS LTDA.,6732,CNPJ 03965366000193,"SAO PAULO, SAO PAULO. 01311-00",,,BR
KUEHNE + NAGEL S.A. DE C.V.,6705,"PARQUE IND AMB AGUA FRIA,CARR AGUA","FRIA CATASTRAL 359,APODACA,66620","NUEVO LEON,MEXICO RFC KSN0308143M5",AGENT OF BLUE ANCHOR LINE,
SHANGHAI HUAYANG INTERNATIONAL,6702,"LOGISTICS CO.,LTD","ADDR RM706-9,GOLDEN LAND BUSINESS","BLDG.,773,SI PING ROAD,SHANGHAI,",,
"ORIENT EXPRESS CONTAINER CO., LTD",6694,"C O HAI THAC CO., LTD","11FL, 60 NGUYEN DINH CHIEU STREET,","DISTRICT 1, HO CHI MINH CITY",,
"SCHENKER VIETNAM CO., LTD.",6683,"60 TRUONG SON STREET WARD 2, TAN BI","CHI MINH CITY, VIETNAM",AS AGENT FOR SCHENKEROCEAN LIMITED,,
CARNIVAL CRUISE LINES,6647,3655 NW 87TH AVENUE,"MIAMI, FL 33178 US",,,
AM GLOBAL SHIPPING LINES,6643,"ROOM 413,XIANG DAO TOWER,NO.77","HONGKONG MIDDLE ROAD,QINGDAO",TEL:0086-532-86676863 FAX:0086-532-,,67
TRANSLINK SHIPPING INC.SHENZHEN BRA,6643,"ROOM 1909-1910,19/F,ZHUOYUE BUILDI",SHENZHEN GD 518000,CHINA,,
UPM SALES OY,6602,FINLAND,PH; 35820415111,TAMPERE,FINLAND,
ROQUETTE FRERES,6556,RUE DE LA HAUTE LOGE,62136 LESTREM (FRANCE),FRANCE,,
KUEHNE + NAGEL PVT. LTD.,6556,"2ND FLOOR, SCO NO.-3, SECTOR-32A,","CHANDIGARH ROAD,LUDHIANA,",(PUNJAB) INDIA,,84
KEESON TECHNOLOGY CORPORATION LIMIT,6547,ED,"EDNO. 158, QIJMAO ROADWANGJIANGJING","TOWN,XIUZHOU DISTRICT,JIAXING ZHEJ",IANG CHINA,CN
STANDARD FRUIT COMPANY DE COSTA RIC,6540,"PISO 7, EDIFICIO TERRAZAS B","PLAZA ROBLE, GUACHIPELIN","ESCAZU, COSTA RICA",,
NINGBO PORT SOUTHEAST LOGISTICS GRO,6536,"3-5F NO.258,SEL BLDG., CHANGLE RD.,",JIANGDONG DISTRICT ZJ 315000,CHINA,,
"SOUTHERN VALLEY DE YUCATAN, S.",6536,DE R.L.,CALLE 1B NO. 320 INT A,MERIDA YU 97120 MEXICO,,
HECNY TRANSPORTATION (VIETNAM) LTD,6532,"ROOM 602,6TH FLOOR,PHOENIX BUILDING","13BIS KY DONG STREET, WARD 9, DIST",RICT 3 HOCHIMINH CITY,.,
POUYUEN VIETNAM COMPANY LIMITED,6527,"D10/89Q NATIONAL HIGHWAY 1A, TANTAO","HOCHIMINH,,VN",,,
CASIA GLOBAL LOGISTICS CO. LTD.,6526,ROOM 505 ZHONGTIAN BUILDING NO.1063,SIPING ROAD YANGPU,SHANGHAI 200092,,
INTERGLOBO INTERNATIONAL FREIGHT FO,6522,"UNIT E, 25F, TOWER C, NEO BUILDING,",SHENZHEN 44 518000 CHINA,,,
STANDARD FRUIT DE GUATEMALA S.A.,6516,10 AVENIDA 35-21 ZONA 16 PASEO CAYA,"ZONA 16, TAX ID: NIT 707457-3","GUATEMALA CITY, GUATEMALA",,
